location_code,postal_code,city,district,state,state_code,region,zone,country,country_code,location_type,is_metro,is_urban,tier,population,area_sqkm,latitude,longitude,timezone,timezone_offset,gdp_per_capita,purchasing_power_index,has_airport,has_seaport,has_railway,accessibility_score,logistics_hub_flag,market_potential,competition_level,store_count,tax_jurisdiction,sales_territory,sales_manager,current_flag,effective_from,effective_to
MUM_MH_400001,400001,Mumbai,Mumbai City,Maharashtra,MH,West,Western Zone,India,IND,Metro,1,1,Tier-1,20411000,603.4,19.076,72.8777,Asia/Kolkata,+05:30,310000,125,1,1,1,5,1,High,High,25,Maharashtra GST,West-1,Rajesh Kumar,1,2020-01-01,
DEL_DL_110001,110001,New Delhi,New Delhi,Delhi,DL,North,Northern Zone,India,IND,Metro,1,1,Tier-1,32941000,1484,28.6139,77.209,Asia/Kolkata,+05:30,295000,120,1,0,1,5,1,High,High,30,Delhi GST,North-1,Priya Sharma,1,2020-01-01,
BLR_KA_560001,560001,Bangalore,Bangalore Urban,Karnataka,KA,South,Southern Zone,India,IND,Metro,1,1,Tier-1,12765000,709,12.9716,77.5946,Asia/Kolkata,+05:30,320000,130,1,0,1,4.8,1,High,High,22,Karnataka GST,South-1,Arun Reddy,1,2020-01-01,
HYD_TS_500001,500001,Hyderabad,Hyderabad,Telangana,TS,South,Southern Zone,India,IND,Metro,1,1,Tier-1,10494000,650,17.385,78.4867,Asia/Kolkata,+05:30,285000,115,1,0,1,4.7,1,High,High,18,Telangana GST,South-2,Lakshmi Naidu,1,2020-01-01,
CHN_TN_600001,600001,Chennai,Chennai,Tamil Nadu,TN,South,Southern Zone,India,IND,Metro,1,1,Tier-1,11324000,426,13.0827,80.2707,Asia/Kolkata,+05:30,275000,110,1,1,1,4.9,1,High,High,20,Tamil Nadu GST,South-3,Vijay Kumar,1,2020-01-01,
KOL_WB_700001,700001,Kolkata,Kolkata,West Bengal,WB,East,Eastern Zone,India,IND,Metro,1,1,Tier-1,15134000,205,22.5726,88.3639,Asia/Kolkata,+05:30,245000,100,1,1,1,4.5,1,High,High,15,West Bengal GST,East-1,Amit Chatterjee,1,2020-01-01,
PUN_MH_411001,411001,Pune,Pune,Maharashtra,MH,West,Western Zone,India,IND,Urban,0,1,Tier-2,7764000,729,18.5204,73.8567,Asia/Kolkata,+05:30,265000,108,1,0,1,4.5,0,High,Medium,12,Maharashtra GST,West-2,Sneha Patil,1,2020-01-01,
AHM_GJ_380001,380001,Ahmedabad,Ahmedabad,Gujarat,GJ,West,Western Zone,India,IND,Urban,0,1,Tier-2,8450000,505,23.0225,72.5714,Asia/Kolkata,+05:30,255000,105,1,0,1,4.3,0,High,Medium,10,Gujarat GST,West-3,Rohan Patel,1,2020-01-01,
JAI_RJ_302001,302001,Jaipur,Jaipur,Rajasthan,RJ,North,Northern Zone,India,IND,Urban,0,1,Tier-2,3971000,467,26.9124,75.7873,Asia/Kolkata,+05:30,235000,95,1,0,1,4,0,Medium,Medium,8,Rajasthan GST,North-2,Deepak Singh,1,2020-01-01,
LKO_UP_226001,226001,Lucknow,Lucknow,Uttar Pradesh,UP,North,Northern Zone,India,IND,Urban,0,1,Tier-2,3382000,310,26.8467,80.9462,Asia/Kolkata,+05:30,225000,92,1,0,1,4.2,0,Medium,Medium,7,Uttar Pradesh GST,North-3,Ankit Verma,1,2020-01-01,
COI_TN_641001,641001,Coimbatore,Coimbatore,Tamil Nadu,TN,South,Southern Zone,India,IND,Urban,0,1,Tier-2,2195000,246,11.0168,76.9558,Asia/Kolkata,+05:30,240000,98,1,0,1,4,0,Medium,Low,5,Tamil Nadu GST,South-4,Karthik Sundaram,1,2020-01-01,
VIS_AP_530001,530001,Visakhapatnam,Visakhapatnam,Andhra Pradesh,AP,South,Southern Zone,India,IND,Urban,0,1,Tier-2,2358000,681,17.6868,83.2185,Asia/Kolkata,+05:30,230000,94,1,1,1,4.3,1,Medium,Low,6,Andhra Pradesh GST,South-5,Ramesh Babu,1,2020-01-01,
NAG_MH_440001,440001,Nagpur,Nagpur,Maharashtra,MH,Central,Central Zone,India,IND,Urban,0,1,Tier-3,2497000,217,21.1458,79.0882,Asia/Kolkata,+05:30,215000,88,1,0,1,3.8,0,Medium,Low,4,Maharashtra GST,Central-1,Suresh Deshpande,1,2020-01-01,
BHO_MP_462001,462001,Bhopal,Bhopal,Madhya Pradesh,MP,Central,Central Zone,India,IND,Urban,0,1,Tier-3,2368000,285,23.2599,77.4126,Asia/Kolkata,+05:30,205000,85,1,0,1,3.7,0,Low,Low,3,Madhya Pradesh GST,Central-2,Anjali Tiwari,1,2020-01-01,
IND_MP_452001,452001,Indore,Indore,Madhya Pradesh,MP,Central,Central Zone,India,IND,Urban,0,1,Tier-3,3276000,530,22.7196,75.8577,Asia/Kolkata,+05:30,220000,90,1,0,1,3.9,0,Medium,Low,5,Madhya Pradesh GST,Central-3,Manish Jain,1,2020-01-01,
GUW_AS_781001,781001,Guwahati,Kamrup Metropolitan,Assam,AS,North East,North Eastern Zone,India,IND,Urban,0,1,Tier-3,1116000,216,26.1445,91.7362,Asia/Kolkata,+05:30,195000,80,1,0,1,3.5,0,Low,Low,2,Assam GST,NorthEast-1,Rahul Bora,1,2020-01-01,
DC_BHI_MH_400615,400615,Bhiwandi,Thane,Maharashtra,MH,West,Western Zone,India,IND,Distribution Center,0,1,Tier-3,709000,78,19.3,73.0544,Asia/Kolkata,+05:30,,,0,0,1,4.2,1,,,0,Maharashtra GST,West-DC,Operations Manager,1,2020-01-01,
DC_FAR_HR_121001,121001,Faridabad,Faridabad,Haryana,HR,North,Northern Zone,India,IND,Distribution Center,0,1,Tier-3,1795000,741,28.4089,77.3178,Asia/Kolkata,+05:30,,,0,0,1,4.5,1,,,0,Haryana GST,North-DC,Operations Manager,1,2020-01-01,
DC_SRI_AP_517501,517501,Sricity,Chittoor,Andhra Pradesh,AP,South,Southern Zone,India,IND,Distribution Center,0,0,Tier-3,,,13.5525,80.0437,Asia/Kolkata,+05:30,,,0,0,1,4,1,,,0,Andhra Pradesh GST,South-DC,Operations Manager,1,2020-01-01,
