store_key,location_code,store_code,store_name,store_type,store_format,address_line1,address_line2,city,state,postal_code,country,region,district,territory,store_size_sqft,opening_date,remodel_date,manager_name,phone,email,latitude,longitude,is_24_hours,has_parking,parking_spaces,current_flag,effective_from,effective_to,row_created_date,row_updated_date
1,MUM_MH_400001,STR0001,Pune Flagship,Retail,Flagship,"895, Pune Main Rd",A Block,Pune,Maharashtra,411001,India,West,Pune Zone-5,Maharashtra-2,39134,8/7/2024,,Neha Chopra,-150410,str0001@stores.example.com,18.5027524,73.8593394,0,1,44,1,8/7/2024 0:00,,8/8/2024 7:00,2/4/2025 0:00
2,DEL_DL_110001,STR0002,Bhubaneswar Express,Pop-up,Express,"92, Bhubaneswar Main Rd",B Block,Bhubaneswar,Odisha,751001,India,East,Bhubaneswar Zone-4,Odisha-3,824,3/20/2025,,Varun Bose,-134569,str0002@stores.example.com,20.2974172,85.818064,0,0,0,1,3/20/2025 0:00,,3/20/2025 23:00,4/23/2025 0:00
121,BLR_KA_560001,STR0002,Bhubaneswar Express,Pop-up,Express,"92, Bhubaneswar Main Rd",B Block,Bhubaneswar,Odisha,751001,India,East,Bhubaneswar Zone-4,Odisha-3,778,3/20/2025,,Vikram Rao,-134569,str0002@stores.example.com,20.2974172,85.818064,0,0,0,0,1/28/2022 0:00,1/5/2025 0:00,1/29/2022 8:00,1/5/2025 18:00
3,HYD_TS_500001,STR0003,Ranchi Superstore,FC,Superstore,"536, Ranchi Main Rd",C Block,Ranchi,Jharkhand,834001,India,East,Ranchi Zone-4,Jharkhand-3,53695,9/13/2022,,Rina Gupta,-131995,str0003@stores.example.com,23.3435638,85.3046382,0,1,124,1,9/13/2022 0:00,,9/14/2022 5:00,4/13/2023 0:00
4,CHN_TN_600001,STR0004,Pune Express,FC,Express,"705, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-5,Maharashtra-2,47936,10/17/2024,,Meera Iyer,-131702,str0004@stores.example.com,18.5276347,73.8479319,0,1,74,1,10/17/2024 0:00,,10/18/2024 15:00,12/22/2024 0:00
5,KOL_WB_700001,STR0005,New York Online Hub,Retail,Online Hub,"939, New York Main Rd",B Block,New York,New York,10001,USA,Americas,New York Zone-5,New York-2,11312,10/9/2025,9/8/2027,Neha Bose,-1947,str0005@stores.example.com,40.6955236,-74.0161866,1,1,61,1,10/9/2025 0:00,,10/9/2025 11:00,1/28/2026 0:00
6,PUN_MH_411001,STR0006,Pune Outlet,DC,Outlet,"192, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-4,Maharashtra-2,136377,5/14/2021,,Rahul Bose,-181377,str0006@stores.example.com,18.5118493,73.8495704,0,1,138,1,5/14/2021 0:00,,5/15/2021 13:00,8/21/2021 0:00
123,AHM_GJ_380001,STR0006,Pune Outlet,DC,Outlet,"192, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-4,Maharashtra-2,144440,5/14/2021,,Vikram Chopra,-181377,str0006@stores.example.com,18.5118493,73.8495704,0,1,138,0,1/13/2021 0:00,3/7/2021 0:00,1/14/2021 13:00,3/8/2021 5:00
7,JAI_RJ_302001,STR0007,Ahmedabad Online Hub,Retail,Online Hub,"332, Ahmedabad Main Rd",D Block,Ahmedabad,Gujarat,380001,India,West,Ahmedabad Zone-2,Gujarat-1,15110,1/28/2025,,Aisha Saxena,-127594,str0007@stores.example.com,23.0183936,72.554835,0,1,53,1,1/28/2025 0:00,,1/29/2025 17:00,8/6/2025 0:00
8,LKO_UP_226001,STR0008,Kochi Express,Retail,Express,"759, Kochi Main Rd",E Block,Kochi,Kerala,682001,India,South,Kochi Zone-1,Kerala-2,12137,5/24/2025,,Karan Iyer,-140737,str0008@stores.example.com,9.944494,76.2808066,0,1,56,1,5/24/2025 0:00,,5/24/2025 2:00,7/27/2025 0:00
135,COI_TN_641001,STR0008,Kochi Express,Retail,Express,"759, Kochi Main Rd",E Block,Kochi,Kerala,682001,India,South,Kochi Zone-1,Kerala-2,11792,5/24/2025,,Karan Kulkarni,-140737,str0008@stores.example.com,9.944494,76.2808066,0,1,56,0,7/27/2022 0:00,6/26/2024 0:00,7/27/2022 10:00,6/27/2024 2:00
9,VIS_AP_530001,STR0009,Pune Flagship,Retail,Flagship,"472, Pune Main Rd",D Block,Pune,Maharashtra,411001,India,West,Pune Zone-1,Maharashtra-1,15290,3/2/2022,,Priya Pillai,-186366,str0009@stores.example.com,18.5216035,73.8689563,0,1,102,1,3/2/2022 0:00,,3/3/2022 12:00,6/20/2022 0:00
10,NAG_MH_440001,STR0010,Gurgaon Express,Retail,Express,"960, Gurgaon Main Rd",B Block,Gurgaon,Haryana,122001,India,North,Gurgaon Zone-3,Haryana-2,22647,10/12/2025,,Anita Bose,-188995,str0010@stores.example.com,28.4512307,77.038513,0,1,21,1,10/12/2025 0:00,,10/13/2025 2:00,2/27/2026 0:00
11,BHO_MP_462001,STR0011,Bhubaneswar Flagship,DC,Flagship,"312, Bhubaneswar Main Rd",A Block,Bhubaneswar,Odisha,751001,India,East,Bhubaneswar Zone-1,Odisha-1,115085,10/16/2022,9/5/2023,Karan Agarwal,-98735,str0011@stores.example.com,20.307233,85.8079548,0,1,129,1,10/16/2022 0:00,,10/16/2022 13:00,9/6/2023 0:00
12,IND_MP_452001,STR0012,Patna Express,Pop-up,Express,"421, Patna Main Rd",A Block,Patna,Bihar,800001,India,East,Patna Zone-4,Bihar-3,3581,11/21/2025,2/2/2027,Arjun Mehta,-166385,str0012@stores.example.com,25.5931791,85.1565791,0,0,0,1,11/21/2025 0:00,,11/21/2025 11:00,1/27/2026 0:00
13,GUW_AS_781001,STR0013,Pune Online Hub,Retail,Online Hub,"89, Pune Main Rd",D Block,Pune,Maharashtra,411001,India,West,Pune Zone-3,Maharashtra-1,38432,10/6/2023,,Karan Kulkarni,-114289,str0013@stores.example.com,18.5245603,73.8712681,1,1,109,1,10/6/2023 0:00,,10/6/2023 8:00,2/29/2024 0:00
124,DC_BHI_MH_400615,STR0013,Pune Online Hub,Retail,Online Hub,"89, Pune Main Rd",D Block,Pune,Maharashtra,411001,India,West,Pune Zone-3,Maharashtra-1,34749,10/6/2023,,Arjun Iyer,-114289,str0013@stores.example.com,18.5245603,73.8712681,1,1,109,0,9/3/2021 0:00,10/21/2022 0:00,9/3/2021 1:00,10/22/2022 6:00
14,DC_FAR_HR_121001,STR0014,Chennai Online Hub,Retail,Online Hub,"512, Chennai Main Rd",D Block,Chennai,Tamil Nadu,600001,India,South,Chennai Zone-1,Tamil Nadu-3,39465,7/28/2024,,Kabir Saxena,-154751,str0014@stores.example.com,13.0904175,80.2853581,1,1,16,1,7/28/2024 0:00,,7/29/2024 21:00,10/6/2024 0:00
15,DC_SRI_AP_517501,STR0015,New York Flagship,Retail,Flagship,"864, New York Main Rd",D Block,New York,New York,10001,USA,Americas,New York Zone-5,New York-1,15711,7/20/2023,,Sanjay Kulkarni,-2984,str0015@stores.example.com,40.7326349,-74.0247848,0,1,94,1,7/20/2023 0:00,,7/20/2023 23:00,8/24/2023 0:00
16,DC_SRI_AP_517502,STR0016,Patna Online Hub,Retail,Online Hub,"810, Patna Main Rd",D Block,Patna,Bihar,800001,India,East,Patna Zone-4,Bihar-3,27065,1/6/2023,,Rahul Nair,-151508,str0016@stores.example.com,25.5961275,85.1269021,0,1,49,1,1/6/2023 0:00,,1/6/2023 21:00,10/2/2023 0:00
17,MUM_MH_400001,STR0017,Surat Online Hub,Retail,Online Hub,"251, Surat Main Rd",D Block,Surat,Gujarat,395003,India,West,Surat Zone-1,Gujarat-3,37346,6/25/2021,,Kabir Iyer,-135310,str0017@stores.example.com,21.165288,72.8155614,1,1,57,1,6/25/2021 0:00,,6/25/2021 2:00,6/20/2022 0:00
18,DEL_DL_110001,STR0018,Manchester Online Hub,Retail,Online Hub,"191, Manchester Main Rd",E Block,Manchester,England,M1,UK,EMEA,Manchester Zone-3,England-3,27596,5/5/2025,,Raghav Saxena,-705442,str0018@stores.example.com,53.4961863,-2.2321477,0,1,127,1,5/5/2025 0:00,,5/6/2025 18:00,2/8/2026 0:00
19,BLR_KA_560001,STR0019,Gurgaon Flagship,Retail,Flagship,"279, Gurgaon Main Rd",C Block,Gurgaon,Haryana,122001,India,North,Gurgaon Zone-5,Haryana-2,26264,4/24/2021,9/18/2022,Rina Rao,-164220,str0019@stores.example.com,28.478633,77.0256867,0,1,104,1,4/24/2021 0:00,,4/25/2021 3:00,1/12/2022 0:00
20,HYD_TS_500001,STR0020,Coimbatore Outlet,DC,Outlet,"234, Coimbatore Main Rd",C Block,Coimbatore,Tamil Nadu,641001,India,South,Coimbatore Zone-1,Tamil Nadu-3,109931,10/30/2022,,Aisha Verma,-126876,str0020@stores.example.com,10.9982093,76.9399156,0,1,53,1,10/30/2022 0:00,,10/31/2022 16:00,3/22/2023 0:00
21,CHN_TN_600001,STR0021,Ranchi Online Hub,Retail,Online Hub,"124, Ranchi Main Rd",E Block,Ranchi,Jharkhand,834001,India,East,Ranchi Zone-4,Jharkhand-2,19659,7/9/2021,1/30/2022,Raghav Rao,-110619,str0021@stores.example.com,23.339189,85.3077573,0,1,52,1,7/9/2021 0:00,,7/10/2021 15:00,4/20/2022 0:00
22,KOL_WB_700001,STR0022,Surat Express,Retail,Express,"690, Surat Main Rd",E Block,Surat,Gujarat,395003,India,West,Surat Zone-4,Gujarat-3,20387,2/25/2023,,Raghav Agarwal,-118464,str0022@stores.example.com,21.184835,72.8278841,0,1,143,1,2/25/2023 0:00,,2/25/2023 23:00,9/13/2023 0:00
23,PUN_MH_411001,STR0023,New Delhi Outlet,Pop-up,Outlet,"671, New Delhi Main Rd",C Block,New Delhi,Delhi,110001,India,North,New Delhi Zone-5,Delhi-3,3166,8/10/2025,,Vikram Chopra,-101857,str0023@stores.example.com,28.6080819,77.2055589,0,0,0,1,8/10/2025 0:00,,8/11/2025 10:00,2/21/2026 0:00
24,AHM_GJ_380001,STR0024,Guwahati Outlet,Retail,Outlet,"692, Guwahati Main Rd",E Block,Guwahati,Assam,781001,India,East,Guwahati Zone-2,Assam-2,20589,11/16/2024,,Arjun Nair,-154755,str0024@stores.example.com,26.1386264,91.739362,0,1,77,1,11/16/2024 0:00,,11/16/2024 18:00,7/2/2025 0:00
25,JAI_RJ_302001,STR0025,Mumbai Online Hub,Retail,Online Hub,"968, Mumbai Main Rd",B Block,Mumbai,Maharashtra,400001,India,West,Mumbai Zone-1,Maharashtra-1,12214,9/9/2025,,Vikram Agarwal,-99305,str0025@stores.example.com,19.0892437,72.8970042,0,1,22,1,9/9/2025 0:00,,9/9/2025 0:00,4/1/2026 0:00
26,LKO_UP_226001,STR0026,Noida Express,Retail,Express,"603, Noida Main Rd",C Block,Noida,Uttar Pradesh,201301,India,North,Noida Zone-3,Uttar Pradesh-1,34615,6/8/2024,,Rahul Reddy,-84910,str0026@stores.example.com,28.5396464,77.4050762,0,1,103,1,6/8/2024 0:00,,6/9/2024 2:00,10/31/2024 0:00
27,COI_TN_641001,STR0027,Pune Online Hub,Pop-up,Online Hub,"223, Pune Main Rd",C Block,Pune,Maharashtra,411001,India,West,Pune Zone-5,Maharashtra-2,4761,12/7/2024,7/21/2026,Isha Verma,-140714,str0027@stores.example.com,18.5268172,73.8473888,0,0,0,1,12/7/2024 0:00,,12/7/2024 12:00,2/3/2025 0:00
28,VIS_AP_530001,STR0028,Lucknow Outlet,Retail,Outlet,"673, Lucknow Main Rd",E Block,Lucknow,Uttar Pradesh,226001,India,North,Lucknow Zone-2,Uttar Pradesh-3,9020,1/1/2023,12/11/2024,Rina Chopra,-128388,str0028@stores.example.com,26.8462389,80.9483271,1,1,110,1,1/1/2023 0:00,,1/2/2023 18:00,3/30/2023 0:00
29,NAG_MH_440001,STR0029,Bengaluru Superstore,FC,Superstore,"689, Bengaluru Main Rd",E Block,Bengaluru,Karnataka,560001,India,South,Bengaluru Zone-4,Karnataka-1,65666,9/8/2022,,Rahul Pillai,-192822,str0029@stores.example.com,12.9758232,77.6145393,0,1,95,1,9/8/2022 0:00,,9/9/2022 6:00,3/3/2023 0:00
30,BHO_MP_462001,STR0030,Ranchi Express,Retail,Express,"669, Ranchi Main Rd",D Block,Ranchi,Jharkhand,834001,India,East,Ranchi Zone-1,Jharkhand-2,26474,8/5/2024,,Anita Shah,-155297,str0030@stores.example.com,23.3244286,85.2912597,0,1,53,1,8/5/2024 0:00,,8/5/2024 22:00,3/5/2025 0:00
31,IND_MP_452001,STR0031,Chicago Online Hub,Pop-up,Online Hub,"879, Chicago Main Rd",B Block,Chicago,Illinois,60601,USA,Americas,Chicago Zone-5,Illinois-3,4140,4/1/2025,,Priya Reddy,-2809,str0031@stores.example.com,41.8759478,-87.6386938,0,0,0,1,4/1/2025 0:00,,4/2/2025 13:00,10/9/2025 0:00
32,GUW_AS_781001,STR0032,Hyderabad Express,Retail,Express,"2, Hyderabad Main Rd",D Block,Hyderabad,Telangana,500001,India,South,Hyderabad Zone-5,Telangana-3,34130,5/26/2022,,Raghav Nair,-135257,str0032@stores.example.com,17.3757485,78.4859702,0,1,67,1,5/26/2022 0:00,,5/27/2022 7:00,8/4/2022 0:00
33,DC_BHI_MH_400615,STR0033,Birmingham Online Hub,Retail,Online Hub,"18, Birmingham Main Rd",C Block,Birmingham,England,B1,UK,EMEA,Birmingham Zone-4,England-3,14583,8/11/2024,,Priya Gupta,-353538,str0033@stores.example.com,52.4849263,-1.8778987,0,1,10,1,8/11/2024 0:00,,8/12/2024 22:00,7/27/2025 0:00
34,DC_FAR_HR_121001,STR0034,Coimbatore Express,DC,Express,"789, Coimbatore Main Rd",B Block,Coimbatore,Tamil Nadu,641001,India,South,Coimbatore Zone-3,Tamil Nadu-3,100848,3/26/2025,,Anita Kulkarni,-141086,str0034@stores.example.com,11.0114807,76.9587689,0,1,43,1,3/26/2025 0:00,,3/26/2025 9:00,11/29/2025 0:00
35,DC_SRI_AP_517501,STR0035,Singapore Flagship,Retail,Flagship,"975, Singapore Main Rd",E Block,Singapore,Singapore,18956,Singapore,APAC,Singapore Zone-4,Singapore-3,10795,12/26/2022,,Arjun Nair,-8425,str0035@stores.example.com,1.3533082,103.8351745,1,1,24,1,12/26/2022 0:00,,12/27/2022 20:00,2/20/2023 0:00
36,DEL_DL_110001,STR0036,Patna Online Hub,Retail,Online Hub,"661, Patna Main Rd",E Block,Patna,Bihar,800001,India,East,Patna Zone-3,Bihar-3,12780,12/31/2024,,Raghav Pillai,-164129,str0036@stores.example.com,25.6126065,85.1293632,0,1,105,1,12/31/2024 0:00,,12/31/2024 18:00,4/26/2025 0:00
37,DEL_DL_110002,STR0037,New Delhi Flagship,FC,Flagship,"373, New Delhi Main Rd",E Block,New Delhi,Delhi,110001,India,North,New Delhi Zone-1,Delhi-2,69019,1/26/2022,,Rahul Chopra,-165696,str0037@stores.example.com,28.6074205,77.2160107,0,1,121,1,1/26/2022 0:00,,1/27/2022 22:00,8/15/2022 0:00
38,DEL_DL_110003,STR0038,Nagpur Flagship,Retail,Flagship,"419, Nagpur Main Rd",A Block,Nagpur,Maharashtra,440001,India,West,Nagpur Zone-1,Maharashtra-3,25904,11/21/2023,,Vikram Mehta,-126017,str0038@stores.example.com,21.1620145,79.0973904,0,1,141,1,11/21/2023 0:00,,11/22/2023 21:00,9/8/2024 0:00
39,DEL_DL_110004,STR0039,Hyderabad Flagship,Retail,Flagship,"104, Hyderabad Main Rd",C Block,Hyderabad,Telangana,500001,India,South,Hyderabad Zone-3,Telangana-3,14112,8/8/2022,,Vikram Shah,-106900,str0039@stores.example.com,17.3880403,78.4964614,0,1,133,1,8/8/2022 0:00,,8/9/2022 11:00,11/3/2022 0:00
40,DEL_DL_110005,STR0040,Gurgaon Superstore,FC,Superstore,"181, Gurgaon Main Rd",E Block,Gurgaon,Haryana,122001,India,North,Gurgaon Zone-5,Haryana-1,37519,11/22/2023,,Anita Kulkarni,-182588,str0040@stores.example.com,28.4717978,77.0366124,0,1,68,1,11/22/2023 0:00,,11/23/2023 14:00,3/17/2024 0:00
41,DEL_DL_110006,STR0041,Mumbai Superstore,Pop-up,Superstore,"314, Mumbai Main Rd",A Block,Mumbai,Maharashtra,400001,India,West,Mumbai Zone-5,Maharashtra-2,2040,9/7/2024,,Nikita Agarwal,-115722,str0041@stores.example.com,19.0919964,72.8847655,0,0,0,1,9/7/2024 0:00,,9/7/2024 18:00,11/24/2024 0:00
42,DEL_DL_110007,STR0042,Manchester Online Hub,FC,Online Hub,"210, Manchester Main Rd",E Block,Manchester,England,M1,UK,EMEA,Manchester Zone-5,England-2,36156,9/2/2022,,Varun Reddy,-711807,str0042@stores.example.com,53.4726273,-2.2551776,0,1,124,1,9/2/2022 0:00,,9/3/2022 9:00,11/5/2022 0:00
43,DEL_DL_110008,STR0043,Hyderabad Flagship,Retail,Flagship,"782, Hyderabad Main Rd",A Block,Hyderabad,Telangana,500001,India,South,Hyderabad Zone-2,Telangana-2,23963,2/9/2023,,Rina Saxena,-130100,str0043@stores.example.com,17.3972724,78.4910049,0,1,111,1,2/9/2023 0:00,,2/10/2023 1:00,9/14/2023 0:00
131,DEL_DL_110009,STR0043,Hyderabad Flagship,Retail,Flagship,"782, Hyderabad Main Rd",A Block,Hyderabad,Telangana,500001,India,South,Hyderabad Zone-2,Telangana-2,23862,2/9/2023,,Varun Pillai,-130100,str0043@stores.example.com,17.3972724,78.4910049,0,1,111,0,8/26/2021 0:00,5/20/2022 0:00,8/26/2021 13:00,5/21/2022 20:00
44,DEL_DL_110010,STR0044,Chicago Express,Pop-up,Express,"704, Chicago Main Rd",D Block,Chicago,Illinois,60601,USA,Americas,Chicago Zone-3,Illinois-2,4454,8/20/2021,8/24/2022,Meera Bose,-7727,str0044@stores.example.com,41.881199,-87.61809,0,0,0,1,8/20/2021 0:00,,8/20/2021 9:00,12/2/2021 0:00
45,DEL_DL_110011,STR0045,Nagpur Flagship,Pop-up,Flagship,"73, Nagpur Main Rd",B Block,Nagpur,Maharashtra,440001,India,West,Nagpur Zone-5,Maharashtra-3,3036,9/16/2024,,Kabir Kulkarni,-103666,str0045@stores.example.com,21.1352193,79.0788967,0,0,0,1,9/16/2024 0:00,,9/17/2024 10:00,7/20/2025 0:00
46,DEL_DL_110012,STR0046,Ahmedabad Express,Retail,Express,"478, Ahmedabad Main Rd",A Block,Ahmedabad,Gujarat,380001,India,West,Ahmedabad Zone-4,Gujarat-3,16720,3/11/2025,,Arjun Agarwal,-112002,str0046@stores.example.com,23.0093601,72.5813019,0,1,59,1,3/11/2025 0:00,,3/11/2025 23:00,1/23/2026 0:00
133,DEL_DL_110013,STR0046,Ahmedabad Express,Retail,Express,"478, Ahmedabad Main Rd",A Block,Ahmedabad,Gujarat,380001,India,West,Ahmedabad Zone-4,Gujarat-3,16980,3/11/2025,,Nikita Pillai,-112002,str0046@stores.example.com,23.0093601,72.5813019,0,1,59,0,1/21/2022 0:00,4/25/2024 0:00,1/22/2022 11:00,4/26/2024 1:00
47,MUM_MH_400001,STR0047,Chennai Flagship,FC,Flagship,"800, Chennai Main Rd",E Block,Chennai,Tamil Nadu,600001,India,South,Chennai Zone-3,Tamil Nadu-1,52436,2/11/2022,,Kabir Bose,-152318,str0047@stores.example.com,13.0699722,80.2713178,0,1,22,1,2/11/2022 0:00,,2/12/2022 8:00,10/29/2022 0:00
48,MUM_MH_400002,STR0048,Jaipur Superstore,Retail,Superstore,"341, Jaipur Main Rd",E Block,Jaipur,Rajasthan,302001,India,North,Jaipur Zone-4,Rajasthan-2,26107,12/17/2022,,Priya Bose,-173496,str0048@stores.example.com,26.9278153,75.7981068,0,1,112,1,12/17/2022 0:00,,12/18/2022 10:00,2/28/2023 0:00
49,MUM_MH_400003,STR0049,Mumbai Superstore,Retail,Superstore,"354, Mumbai Main Rd",A Block,Mumbai,Maharashtra,400001,India,West,Mumbai Zone-5,Maharashtra-2,25063,8/4/2021,10/6/2023,Aisha Gupta,-172660,str0049@stores.example.com,19.0817865,72.8815421,0,1,94,1,8/4/2021 0:00,,8/4/2021 15:00,5/11/2022 0:00
50,MUM_MH_400004,STR0050,London Outlet,FC,Outlet,"903, London Main Rd",E Block,London,England,SW1A,UK,EMEA,London Zone-1,England-2,34499,11/16/2022,,Varun Chopra,-655263,str0050@stores.example.com,51.5161534,-0.1096067,0,1,69,1,11/16/2022 0:00,,11/16/2022 12:00,7/25/2023 0:00
51,MUM_MH_400005,STR0051,Chennai Superstore,Retail,Superstore,"49, Chennai Main Rd",B Block,Chennai,Tamil Nadu,600001,India,South,Chennai Zone-3,Tamil Nadu-2,10836,7/29/2025,,Isha Kulkarni,-145305,str0051@stores.example.com,13.0841,80.2517384,0,1,22,1,7/29/2025 0:00,,7/29/2025 0:00,1/4/2026 0:00
52,MUM_MH_400006,STR0052,Ranchi Outlet,DC,Outlet,"490, Ranchi Main Rd",A Block,Ranchi,Jharkhand,834001,India,East,Ranchi Zone-5,Jharkhand-2,148224,3/14/2022,,Aisha Khanna,-169656,str0052@stores.example.com,23.3268413,85.2999804,0,1,46,1,3/14/2022 0:00,,3/15/2022 6:00,11/3/2022 0:00
53,MUM_MH_400007,STR0053,Coimbatore Superstore,Pop-up,Superstore,"729, Coimbatore Main Rd",D Block,Coimbatore,Tamil Nadu,641001,India,South,Coimbatore Zone-5,Tamil Nadu-3,3319,4/9/2022,,Kabir Pillai,-114608,str0053@stores.example.com,10.9985681,76.96791,0,0,0,1,4/9/2022 0:00,,4/9/2022 17:00,5/26/2022 0:00
54,MUM_MH_400008,STR0054,New Delhi Outlet,Retail,Outlet,"195, New Delhi Main Rd",C Block,New Delhi,Delhi,110001,India,North,New Delhi Zone-2,Delhi-3,15345,12/28/2022,,Rina Chopra,-98759,str0054@stores.example.com,28.6094884,77.2137052,0,1,124,1,12/28/2022 0:00,,12/29/2022 7:00,9/8/2023 0:00
55,MUM_MH_400009,STR0055,Guwahati Online Hub,Pop-up,Online Hub,"513, Guwahati Main Rd",A Block,Guwahati,Assam,781001,India,East,Guwahati Zone-4,Assam-3,1414,4/16/2021,,Neha Verma,-183478,str0055@stores.example.com,26.1601034,91.7347971,0,0,0,1,4/16/2021 0:00,,4/18/2021 0:00,6/15/2021 0:00
56,MUM_MH_400010,STR0056,Gurgaon Superstore,Retail,Superstore,"287, Gurgaon Main Rd",E Block,Gurgaon,Haryana,122001,India,North,Gurgaon Zone-5,Haryana-3,21038,4/23/2021,,Rahul Mehta,-114303,str0056@stores.example.com,28.4693409,77.0348032,0,1,61,1,4/23/2021 0:00,,4/24/2021 19:00,1/2/2022 0:00
57,MUM_MH_400011,STR0057,Ranchi Superstore,FC,Superstore,"928, Ranchi Main Rd",D Block,Ranchi,Jharkhand,834001,India,East,Ranchi Zone-3,Jharkhand-3,63442,4/24/2022,,Neha Gupta,-160513,str0057@stores.example.com,23.3548989,85.2897528,0,1,56,1,4/24/2022 0:00,,4/25/2022 22:00,9/26/2022 0:00
58,MUM_MH_400012,STR0058,Coimbatore Outlet,Pop-up,Outlet,"530, Coimbatore Main Rd",C Block,Coimbatore,Tamil Nadu,641001,India,South,Coimbatore Zone-1,Tamil Nadu-3,4344,3/1/2024,6/19/2026,Kabir Nair,-155528,str0058@stores.example.com,11.0348461,76.9512234,0,0,0,1,3/1/2024 0:00,,3/2/2024 20:00,9/28/2024 0:00
59,MUM_MH_400013,STR0059,Hyderabad Online Hub,Retail,Online Hub,"416, Hyderabad Main Rd",B Block,Hyderabad,Telangana,500001,India,South,Hyderabad Zone-3,Telangana-2,19233,1/26/2022,,Neha Bose,-185720,str0059@stores.example.com,17.3774983,78.5018103,0,1,65,1,1/26/2022 0:00,,1/26/2022 18:00,9/17/2022 0:00
60,MUM_MH_400014,STR0060,San Francisco Online Hub,FC,Online Hub,"599, San Francisco Main Rd",A Block,San Francisco,California,94102,USA,Americas,San Francisco Zone-3,California-1,62792,2/6/2024,,Arjun Saxena,-6216,str0060@stores.example.com,37.7943762,-122.4249522,0,1,20,1,2/6/2024 0:00,,2/7/2024 3:00,7/3/2024 0:00
61,MUM_MH_400015,STR0061,New York Outlet,FC,Outlet,"715, New York Main Rd",E Block,New York,New York,10001,USA,Americas,New York Zone-4,New York-3,69234,3/26/2023,,Varun Khanna,-5158,str0061@stores.example.com,40.7327208,-74.0222033,0,1,106,1,3/26/2023 0:00,,3/27/2023 20:00,2/10/2024 0:00
62,MUM_MH_400016,STR0062,Mumbai Superstore,Retail,Superstore,"281, Mumbai Main Rd",C Block,Mumbai,Maharashtra,400001,India,West,Mumbai Zone-3,Maharashtra-1,33558,6/10/2023,,Rina Gupta,-143733,str0062@stores.example.com,19.0838711,72.8801314,0,1,101,1,6/10/2023 0:00,,6/11/2023 14:00,1/25/2024 0:00
